Item Code,Item Name,Item Price,Additional Info 1,Additional Info 2,Veg,Non-Veg,Image File
1,Fresh Fruit Alphonso Mango Ice Cream.,69,"Delicious alphonso mango based ice cream made with juicy, real mango pulp. Just go for this aam-azing mango ice cream! (contains milk).",,Yes,No,1.jpg
2,Fresh Fruit Chikoo Ice Cream       ,69,Rich natural chikoo ice cream with real chikoo pieces (contains milk).,,Yes,No,2.jpg
3,Fresh Fruit Tender Coconut Ice Cream           ,69,Tender coconut ice cream with fresh tender coconut pieces (contains milk).,,Yes,No,3.jpg
4,Fresh Fruit Very Berry Strawberry Ice Cream        ,69,"Sublime strawberry ice cream with real strawberry pieces. This strawberry ice cream is a childhood favourite. Scrap that actually, its an all time favourite! (contains milk).",,Yes,No,4.jpg
5,Real Fig Ice Cream       ,79,Indulge in a delectable experience of rich fig ice cream loaded with sumptuous fig pieces (contains milk).,,Yes,No,5.jpg
6,Kesar Pista Ice Cream        ,79,Delectable kesar & cardamom flavored ice cream with cashews & pistachios (contains milk & tree nuts (cashew & pistachio).,,Yes,No,6.jpg
7,Fresh Fruit Alphonso Mango Ice Cream.,69,"Delicious alphonso mango based ice cream made with juicy, real mango pulp. Just go for this aam-azing mango ice cream! (contains milk).",,Yes,No,7.jpg
8,Fresh Fruit Chikoo Ice Cream       ,69,Rich natural chikoo ice cream with real chikoo pieces (contains milk).,,Yes,No,8.jpg
9,Fresh Fruit Tender Coconut Ice Cream           ,69,Tender coconut ice cream with fresh tender coconut pieces (contains milk).,,Yes,No,9.jpg
10,Fresh Fruit Very Berry Strawberry Ice Cream        ,69,"Sublime strawberry ice cream with real strawberry pieces. This strawberry ice cream is a childhood favourite. Scrap that actually, its an all time favourite! (contains milk).",,Yes,No,10.jpg
11,Fresh Litchi Ice Cream             ,69,"Litchi ice cream with fresh litchi pieces makes for a lush, delicious treat! (contains milk).",,Yes,No,
12,Real Fig Ice Cream       ,79,Indulge in a delectable experience of rich fig ice cream loaded with sumptuous fig pieces (contains milk).,,Yes,No,12.jpg
13,Banana N Strawberries Ice Cream      ,79,Ice cream with real banana and strawberries with strawberry ribbon. This banana and strawberry ice cream combination has stood the test of time. You simply cannot go wrong with this delicious ice cream.,,Yes,No,
14,Fresh Pink Guava Ice Cream.,79,Luscious guava ice cream dressed in fresh guava bits & churned in creamy milk (contains milk).,,Yes,No,
15,Black Currant Ice Cream        ,79,Black currant ice cream with real black currant and raisins. This flavoured sweet treat is a universal favourite.,,Yes,No,
16,Fruit Overload Ice Cream        ,79,Orange flavoured ice cream adorned with exotic fruit chunks and jelly. This fruity delight is truly delicious! Get a load of this fruit overload ice cream.,,Yes,No,
17,D'Lite Very Berry Strawberry Ice cream,79,,,Yes,No,
18,Butterscotch Ribbon Ice Cream             ,69,"Vanilla ice cream swirled with butterscotch ribbon. This thick, sinful butterscotch ribbon will leave you going back for seconds.",,Yes,No,
19,Kesar Pista Ice Cream        ,79,Delectable kesar & cardamom flavored ice cream with cashews & pistachios (contains milk & tree nuts (cashew & pistachio).,,Yes,No,19.jpg
20,Roasted Californian Almond Ice Cream         ,79,Vanilla ice cream with caramel ribbon and almond praline. We have put together two classics flavours with a caramel ribbon stitching them together. This almond praline gold proves that sometime old is truly gold! (contains milk & tree nuts).,,Yes,No,20.jpg
21,Dry Fruit Overload Ice cream,79,,,Yes,No,
22,Honey Nut Crunch Ice Cream      ,89,"Ice cream with rich caramel and honey praline almonds. Honey, its nutty, its crunchy and its delightful. What are you waiting for? Get yourself a load of this honey nut crunch ice cream. (contains milk & tree nuts).",,Yes,No,22.jpg
23,Hop Scotch Butterscotch Ice Cream     ,89,"With a butterscotch base, this ice cream has cashew crunch along with an enticing butterscotch ribbon. Stop drooling, start clicking! Our butterscotch ice cream is calling out to you! (contains milk & tree nuts).",,Yes,No,23.jpg
24,Pralines N Cream Ice Cream        ,89,A vanilla base decorated with praline coated pecans and a delicate caramel ribbon. This creamy cool ice cream dotted with praline pecans has just the right amount of crunch and sweetness with a swirled in caramel ribbon.,,Yes,No,24.jpg
25,Chocolate Almond Praline Ice Cream,89,Praline coated almonds peeping out of dark chocolate ice cream (contains milk & tree nuts (almond).,,Yes,No,25.jpg
26,Dutch Chocolate Ice Cream         ,69,Tempting chocolate ice cream with a distinct hint of cocoa. The mother of every chocolate ice cream creation of ours.,,Yes,No,26.jpg
27,Three Cheers Chocolate Ice Cream           ,69,A heavenly combination of chocolate and vanilla married together with chocolate chips and ribbon. A feisty ribbon twirling its way through this chocolate chip loaded chocolate and vanilla ice cream scoop. This ice cream is as enticing as they come!(contains milk & soy).,,Yes,No,27.jpg
28,D'Lite Bavarian Chocolate Ice Cream,79,,,Yes,No,
29,Gold Medal Ribbon Ice Cream         ,89,"A heavenly medley of vanilla and chocolate, embraced by a caramel ribbon. This vanilla and chocolate combo is our dream team! A thick, deep caramel ribbon intertwines the two flavours together in perfection.",,Yes,No,29.jpg
30,Mississippi Mud Ice Cream         ,89,"Delectable chocolate fudge and ice cream, married by a fudge ribbon and sprinkled with brownie pieces. We have tripled up on chocolate with this mississippi mud flavour! Chocolate overload anyone.",,Yes,No,30.jpg
31,Bavarian Chocolate Ice Cream         ,89,Rich chocolate based ice cream adorned with chocolate pieces and cashew nut crispies. If it's bavarian chocolate flavour then its gotta be sinful and intensely indulgent. Throw in a bit of crunch and you have got a truly divine chocolate ice cream treat.,,Yes,No,
